Designator,Mid X,Mid Y,Layer,Rotation
C3,20.3708,8.1534,Top,180
J3,4.8514,30.5816,Top,270
R6,13.0302,21.6662,Top,90
R5,7.6806,36.4654,Top,270
R4,9.525,33.909,Top,270
R3,9.525,31.369,Top,270
R2,9.5758,28.829,Top,270
R1,14.0462,21.6662,Top,270
L4,46.8372,32.0802,Top,0
L3,46.8372,43.8222,Top,0
L2,46.8372,18.5674,Top,0
L1,46.8372,6.8382,Top,0
J4,5.1308,10.795,Top,270
J2,62.3062,37.9222,Top,90
J1,62.3062,12.7,Top,90
C21,55.1688,34.5948,Top,270
C20,35.8394,26.8125,Top,90
C19,33.9598,30.6936,Top,90
C18,18.214,31.1658,Top,270
C17,35.8394,23.8815,Top,270
C16,19.5348,31.1654,Top,270
C15,33.9598,20.0108,Top,270
C14,18.5166,19.3675,Top,90
C13,19.6088,19.3548,Top,90
C12,18.1991,21.551,Top,0
C11,55.1688,41.3512,Top,90
C10,55.1688,16.0528,Top,90
C9,30.6637,16.1652,Top,180
C8,30.4038,14.4526,Top,180
C7,30.4038,12.5222,Top,180
C6,30.6637,34.5338,Top,180
C5,30.404,38.2325,Top,180
C4,30.404,36.2259,Top,180
C2,15.9258,42.799,Top,180
C1,55.1688,9.3472,Top,270
B1,25.673,25.351,Top,0
